브랜드,구분,내용 요약,핵심 키워드,AI 분석 톤,확신도,형용사 수 
메이크온,Part 3,"쏟아져 나오는 뷰티 디바이스 제품들 사이에서, 메이크온...","뷰티, 스킨케어, 제품, 사이, 필요",신뢰감/진정성있는,0.39,1
마몽드,Part 1,Hyper Flora™로 피어나는 나다운 아름다움   ...,"성분, 꽃, 로, 부스팅, 스킨",도전적/혁신적인,0.89,4
마몽드,Part 2,Powered by Hyper Flora     하이퍼...,"스킨케어, 성분, 하이퍼, 플로라, 최신",도전적/혁신적인,0.55,1
마몽드,Part 3,자신만의 독특한 방식으로     삶을 꽃 피울 수 있도...,"꽃, 자신, 독특, 방식, 삶",도전적/혁신적인,0.54,3
메디안,Part 1,내 치아를 위한 맞춤 처방     메디안은 “건강한 치...,"치아, 건강, 년, 기능, 구강",의학적/전문적인,0.67,2
메디안,Part 2,많은 고객에게 사랑을 받은 치석 전문 ‘치석케어 93%...,"치약, 고객, 사랑, 치석, 고민",의학적/전문적인,0.81,3
미쟝센,Part 1,SHINE YOUR SCENE     글로벌 헤어패션 ...,"헤어, 글로벌, 패션, 브랜드, 미쟝센",도전적/혁신적인,0.55,1
미쟝센,Part 2,"CHANGE YOUR HAIR, CHANGE YOUR ...","미쟝센, 디렉터, 은, 화면, 배치",도전적/혁신적인,0.60,1
미쟝센,Part 3,"미쟝센을 만나는 순간,     모든 곳이 무대     ...","스타일, 일상, 무대, 순간, 것",도전적/혁신적인,0.89,3
오딧세이,Part 1,매력적인 남성미와 미향(美香)을 향한 여정     오딧...,"남성, 매력, 남성미, 여정, 향",도전적/혁신적인,0.80,2
오딧세이,Part 2,25년이 넘는 남성 헤리티지의 오딧세이는 앞으로도 세련...,"남성, 헤리티지, 앞, 세련, 아이덴티티",감성적/부드러운,0.43,0
오설록,Part 1,Tea from Jeju Island     “어느 나...,"차, 제주, 나라, 바람, 수",신뢰감/진정성있는,0.39,14
오설록,Part 2,오설록의 제주 차밭     약 100만 평에 달하는 3...,"차, 밭, 송이, 돌, 설",감성적/부드러운,0.61,12
오설록,Part 3,자연을 숨쉬게 하는 차밭     자연을 지키는 유기농 ...,"차, 제주, 량, 발효, 사람",감성적/부드러운,0.46,3
프리메라,Part 1,All about skin barrier by SEED...,"장벽, 피부, 씨드, 테크, 기반",도전적/혁신적인,0.51,2
프리메라,Part 2,Powerful Result Mixology Recip...,"피부, 여성, 고민, 자극, 이상",의학적/전문적인,0.38,1
프리메라,Part 3,Powerful Result Mixology Recip...,"등, 효능, 조합, 개선, 스킨케어",의학적/전문적인,0.44,1
려,Part 1,뿌리로부터 자라는 본연의 아름다움     뿌리깊은 나무...,"뿌리, 본연, 나무, 곳, 근본",의학적/전문적인,0.36,4
려,Part 2,2008년에 런칭한 ‘려’는 1973년부터 시작된 아모...,"년, 제품, 시작, 아모레퍼시픽, 연구",도전적/혁신적인,0.51,0
려,Part 3,최근 려는 원인과 증상이 다른 남녀의 탈모를 맞춤 케어...,"케어, 탈모, 최근, 원인, 증상",도전적/혁신적인,0.91,2
스킨유,Part 1,내 몸의 감각을 일깨우는 섬세한 바디케어 브랜드 스킨유...,"감각, 바디, 케어, 스킨, 유",감성적/부드러운,0.99,1
스킨유,Part 2,머스크향이 나는 자연의 열매인 암브레트 씨드를 향에 담...,"향, 피부, 머스크, 자연, 열매",감성적/부드러운,0.93,3
설화수,Part 1,시간의 흐름에 지지 않는 아름다움     Journey...,"시선, 본질, 시간, 흐름, 홀리",도전적/혁신적인,0.79,8
설화수,Part 2,"집념의 60년 연구,     피부 장수를 위한 인삼  ...","인삼, 단, 원료, 수, 자음",도전적/혁신적인,0.47,5
설화수,Part 3,설화수가 만드는     윤빛 도는 힘 있는 피부    ...,"피부, 노화, 자생력, 자극, 크림",도전적/혁신적인,0.45,1
타타 하퍼,Part 1,High-Performance Natural Skinc...,"타, 내추럴, 뷰티, 선구자, 년",신뢰감/진정성있는,0.48,0
타타 하퍼,Part 2,타타 하퍼 농장에서 발견하는 자연의 이치와 과학을 토대...,"자연, 최고, 타타, 농장, 발견",신뢰감/진정성있는,0.32,0
바이탈뷰티,Part 1,VITALBEAUTIE     과학적 설계로 완성한 건...,"과학, 식품, 생명, 완성, 뷰티",의학적/전문적인,0.88,1
바이탈뷰티,Part 2,"바이탈뷰티 랩은 영양 대사, 면역, 의약학, 이너뷰티 ...","웰니스, 효능, 대사, 면역, 이너뷰티",의학적/전문적인,0.99,1
